Date,open,volume,github_commits,google_trends,tweets,VWAP,OBV,MFI,ADX,MACD,MACD_hist,RSI,WilliamsR,Maker Fee,Transaction Fee,AML_KYC_required,bid_ask_spread,price_inconsistency,Coin_BTC,Coin_DASH,Coin_ETH,Coin_LTC,Coin_XRP
2017-01-01,7.219920509891514,11099540.870518245,1.5696541136575473,0.0,2401.7583710407375,7.85725725275463,-184817442.84476385,71.48856299939399,72.8767270142464,0.2129795854949329,0.1489017830345523,91.06182446783826,-3.2368024333479286,0.0010000000000000057,0.0010000000000000057,1,0.036090334920480256,0.23890269774352577,0,0,0,0,0
2017-01-01,6.885084876724836,8721758.244691156,2.1057815931189547,0.0,2384.504977375579,7.178169804733107,-162061250.50059414,68.68022432669497,69.29804534729317,0.23094067878012808,0.14096582302673127,90.57259435715054,-3.938175007900115,0.0010000000000000057,0.0010000000000000057,1,0.04220719862034212,0.21334153070570155,0,0,0,0,0
2017-01-01,7.010118931933359,8679160.486607075,2.3748139076597763,0.0,2451.123076923091,6.946942100510179,-143727759.7126055,62.08651910529284,63.94873640201257,0.2201984006150674,0.15751633496260292,88.93793995325947,-4.5129237299745295,0.0010000000000000057,0.0010000000000000057,1,0.056731518632412964,0.29124551080209193,0,0,0,0,0
2017-01-01,6.70182538872264,7112066.684166209,2.708877754112592,0.0,2239.15565610861,6.705331052341272,-152843209.88173816,59.46673782144579,60.62984347742346,0.21335382052421767,0.1440103991823883,87.89389781142326,-5.166479705489564,0.0010000000000000057,0.0010000000000000057,1,0.060192395354406,0.2771876549938323,0,0,0,0,0
2017-01-01,7.282540774455249,9731667.153446676,1.974941458269251,0.0,1887.8832579185619,7.5441827087869555,-183233979.22499263,59.07662577232423,57.49922646704606,0.2253456607954298,0.17455078826085513,86.77625097227622,-5.212015989139759,0.0010000000000000057,0.0010000000000000057,1,0.07684597412268997,0.3868146498262125,0,0,0,0,0
2017-01-02,6.8635459813035045,10747075.979462646,2.7937290020302235,0.0,1958.059728506798,7.309902748913295,-201449329.91468146,55.1548278899574,52.23836796828944,0.20542386926071324,0.1801065826357875,85.53754997121695,-5.255538768416764,0.0010000000000000057,0.0010000000000000057,1,0.08583922822297524,0.43900858557933287,0,0,0,0,0
2017-01-02,7.112327548922953,11899820.568411512,2.7222087111873465,0.0,2198.008144796392,7.281571441790383,-181006909.66114426,53.05504105192513,52.232750260694345,0.20860028734742325,0.1997321580988174,85.46728390855112,-5.221976809049095,0.0010000000000000057,0.0010000000000000057,1,0.09172265587305538,0.5118954268435943,0,0,0,0,0
2017-01-02,6.843110117795906,13772586.233337024,4.214814974880911,0.0,2346.1755656108735,7.515097470274424,-208320647.159231,53.793955861642914,54.712155787092954,0.16254892724336556,0.17862245010494002,85.65340666862247,-4.517763911326249,0.0010000000000000057,0.0010000000000000057,1,0.07780735506688331,0.44023916183517947,0,0,0,0,0
2017-01-02,7.321413807979395,14668665.993084293,5.153810236549814,0.0,2211.8542986425464,7.854761686450175,-200374671.7336471,60.08681257420471,57.41849912761269,0.22821517454531304,0.2110710665391535,87.8695383442208,-3.185256286513265,0.0010000000000000057,0.0010000000000000057,1,0.08553339818370745,0.570200694306547,0,0,0,0,0
2017-01-02,7.803553646091882,15608426.040377026,5.8083800165560495,0.0,1988.1493212669793,8.412485665965878,-208691036.82577,65.52360971721403,61.09551142647997,0.29062054222657874,0.23507048264799468,88.65731863264352,-3.734978518105139,0.0010000000000000057,0.0010000000000000057,1,0.09219075197761006,0.6615352070221026,0,0,0,0,0
2017-01-03,6.7405192538822245,15736863.484150898,6.341420242501428,0.0,2252.1909502262574,7.949987118658403,-236511515.9426626,65.47738174309376,63.51064354514908,0.2396206852610328,0.18733138864182416,88.9275026376807,-3.4943864048255113,0.0010000000000000057,0.0010000000000000057,1,0.08795143142357723,0.5669802363995906,0,0,0,0,0
2017-01-03,6.879061599718035,14381968.890246456,6.3340621361054055,0.0,1914.6950226244453,8.332587915716841,-258409517.90940738,66.70004927517789,65.40367012779772,0.2753032435664396,0.19570540745560644,88.1468534694008,-4.179060580847058,0.0010000000000000057,0.0010000000000000057,1,0.07984625690955037,0.6512572095310571,0,0,0,0,0
2017-01-03,8.27818710402969,16058749.299056165,6.77354551637251,0.0,1306.5909502262507,9.52516778240573,-255119379.3668846,74.05436787828737,66.44895749897485,0.3940964222103544,0.2557835280995152,89.10357362063795,-2.801459212844656,0.0010000000000000057,0.0010000000000000057,1,0.09113649140889185,0.7007817374135947,0,0,0,0,0
2017-01-03,7.184878248270721,13204352.091379885,6.173399795067441,0.0,1691.5864253393756,8.28000906310516,-237968750.32528952,70.41976720595393,65.26917025458346,0.386119198458982,0.22833370650563792,88.80301186728278,-4.309628884808422,0.0010000000000000057,0.0010000000000000057,1,0.07758564941330728,0.6337164388485894,0,0,0,0,0
